points,Both,,Males,,Females,
,pre,post,pre,post,pre,post
1,146680,184677,101298,122899,45382,61778
2,782836,855302,533167,572194,249669,283108
3,949044,867361,701053,627807,247991,239554
4,17783,17748,15567,15278,2216,2470
5,51178,14640,43006,12368,8172,2272
6,517,15296,496,12000,21,3296
7,8336,24,7688,18,648,6
9,9969,8222,7382,5791,2587,2431
10,0,14884,0,12747,0,2137
12,128,0,127,0,1,0
14,0,4447,0,4145,0,302
15,18,0,17,0,1,0
18,3,583,3,560,0,23
24,0,102,0,98,0,4
30,0,17,0,17,0,0
36,0,4,0,4,0,0
,,,,,,
,1966492,1983307,1409804,1385926,556688,597381
